           <program>                 ----                 ----       isNotaLeafNode                 ----                 ----            <program>
           d5cb34567                TK_ID                   28          isaLeafNode                 ----        <declaration>                 ----

       <declaration>                 ----                 ----       isNotaLeafNode                 ----       <declarations>        <declaration>

                type              TK_TYPE                   29          isaLeafNode                 ----        <declaration>                 ----

<constructedDatatype>                 ----                 ----       isNotaLeafNode                 ----        <declaration> <constructedDatatype>

              record            TK_RECORD                   29          isaLeafNode                 ---- <constructedDatatype>                 ----

              #marks          TK_RECORDID                   29          isaLeafNode                 ---- <constructedDatatype>                 ----

                b5c6                TK_ID                   29          isaLeafNode                 ----        <declaration>                 ----

        <otherStmts>                 ----                 ----       isNotaLeafNode                 ----              <stmts>         <otherStmts>

                <---                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>          TK_ASSIGNOP

                  b5                TK_ID                   32          isaLeafNode                 ----                 <---                 ----

                   1               TK_NUM                   32          isaLeafNode                    1                 <---                 ----

        <otherStmts>                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>         <otherStmts>

            <ioStmt>                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>             <ioStmt>

                read              TK_READ                   33          isaLeafNode                 ----             <ioStmt>                 ----

     <singleOrRecId>                 ----                 ----       isNotaLeafNode                 ----             <ioStmt>      <singleOrRecId>

                b5c6                TK_ID                   33          isaLeafNode                 ----      <singleOrRecId>                 ----

               maths           TK_FIELDID                   33          isaLeafNode                 ----      <singleOrRecId>                 ----

        <otherStmts>                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>         <otherStmts>

                <---                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>          TK_ASSIGNOP

     <singleOrRecId>                 ----                 ----       isNotaLeafNode                 ----                 <---      <singleOrRecId>

                b5c6                TK_ID                   34          isaLeafNode                 ----      <singleOrRecId>                 ----

               maths           TK_FIELDID                   34          isaLeafNode                 ----      <singleOrRecId>                 ----

                0.00              TK_RNUM                   34          isaLeafNode                 0.00                 <---                 ----

        <otherStmts>                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>         <otherStmts>

                <---                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>          TK_ASSIGNOP

     <singleOrRecId>                 ----                 ----       isNotaLeafNode                 ----                 <---      <singleOrRecId>

                b5c6                TK_ID                   35          isaLeafNode                 ----      <singleOrRecId>                 ----

             physics           TK_FIELDID                   35          isaLeafNode                 ----      <singleOrRecId>                 ----

                0.00              TK_RNUM                   35          isaLeafNode                 0.00                 <---                 ----

        <otherStmts>                 ----                 ----       isNotaLeafNode                 ----         <otherStmts>         <otherStmts>

